응답일시,참여자,개인정보 수집 및 이용 동의(*),평소에 AI를 사용하시나요?(*),무슨 AI를 사용하시나요?(*),무슨 목적으로 AI를 사용하시나요?(*),AI를 사용하면서 느낀 문제점이 있다면 적어주세요.(*)
2026-04-26 14:00:44,72,Y,네,ChatGPT|Gemini|국방부 생성형 AI: GEDAI,"글쓰기 & 서류|학습 & 연구|자기관리|검색용(네이버, 구글 대체)",잘못된 정보 전달
2026-04-26 14:12:19,73,Y,네,ChatGPT|git copilot,글쓰기 & 서류|코딩 & 데이터|아이디어 & 기획,프로젝트 학습력
2026-04-26 15:39:19,74,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|아이디어 & 기획|자기관리,없음
2026-04-26 16:55:36,75,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|학습 & 연구|아이디어 & 기획|자기관리,"주된 목적이 학습 및 조사인데 , 이제 일상처럼 LLM 프로그램을 의지하고 있다."
2026-04-26 20:41:03,76,Y,네,ChatGPT|Gemini,글쓰기 & 서류|코딩 & 데이터|아이디어 & 기획,틀린 정보를 당당하게 말할 때가 있어서 내가 일일이 지적해줘야 됨.
2026-04-26 20:46:58,77,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구,가끔 말이 안통함
2026-04-27 08:08:37,78,Y,네,ChatGPT,글쓰기 & 서류,한번씩 틀린 정보를 준다
2026-04-27 15:42:47,79,N,네,ChatGPT,아이디어 & 기획|자기관리,정확하지 않은 정보를 정확한 것 마냥 얘기함
2026-04-27 15:43:05,80,Y,네,Gemini|마누스,글쓰기 & 서류|학습 & 연구|아이디어 & 기획|시각 & 감각,정확한 인풋이 있어야 한다는 점. 조금이라도 어긋나게 지시하면 아웃풋이 아예 달라지는 것이 좀 아쉽다
2026-04-27 15:51:27,81,Y,네,ChatGPT|Gemini,학습 & 연구|대화,내가 원하지 않아도 자신이 쌓은 지식과 인터넷 자료를 혼합하여 나에개 정보 제공을 해 나에게 혼란을 야기함.
2026-04-27 15:52:20,82,Y,네,ChatGPT|Gemini|Claude,학습 & 연구,무료판과 유료판의 정보 객관성 차이가 너무 심함
2026-04-27 16:11:16,83,Y,네,ChatGPT|Gemini,학습 & 연구|코딩 & 데이터,"제미나이는 답변 느리고, 지피티는 멍청하고 틀린것도 많이 말하고 등등"
2026-04-27 16:22:50,84,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|자기관리,가끔 이상한 답변함
2026-04-27 16:29:37,85,Y,네,ChatGPT|Gemini,글쓰기 & 서류|아이디어 & 기획|자기관리,틀린 정보 제공
2026-04-27 16:44:34,86,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|아이디어 & 기획,없음
2026-04-27 16:58:29,87,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|아이디어 & 기획,프롬포트를 자세하고 세세하게 작성하지 않는다면 원하는 자료를 받기 힘들다는 단점이 있다. 신뢰성 부분에서도 의구심이 드는 경우가 종종 있다.
2026-04-27 17:35:13,88,Y,네,Gemini,글쓰기 & 서류|아이디어 & 기획|시각 & 감각|요점정리,가격대가 약간 부담
2026-04-27 17:58:02,89,Y,네,Gemini|Claude,글쓰기 & 서류|학습 & 연구|코딩 & 데이터,물어보는거에 다른 답변을 해줌
2026-04-27 18:56:39,90,Y,네,ChatGPT|Gemini|Claude,아이디어 & 기획,이전 대화내용을 참고해서 대답을 해주는 거 같다
2026-04-27 19:54:53,91,Y,네,ChatGPT|Gemini,학습 & 연구,말귀를 잘 못알아들을때가 있다
2026-04-27 21:01:30,92,Y,네,ChatGPT,아이디어 & 기획|시각 & 감각,"검증되지 않은 정보, 프로그램 내에서 데이터 기반의 짜집기로 대답하는 경우가 많았다."
2026-04-27 21:12:08,93,Y,네,ChatGPT,코딩 & 데이터,이미지 업로드 제한등등
2026-04-27 21:31:34,94,Y,네,ChatGPT,글쓰기 & 서류|아이디어 & 기획,정확한 답변인지 확인하기 어렵다
2026-04-27 22:19:20,95,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|자기관리,"요약을 원할때 구조를 제시해도 핵심적으로 요약을 해주지 못합니다.
AI가 보낸 글을 제대로 읽고 사고하지 않으면 AI가 제공한 거짓말을 믿을 수 있습니다.
너무 빈번하게 거짓말을 합니다."
2026-04-28 11:54:49,96,Y,네,Gemini,글쓰기 & 서류,문장 이음새가 사람같지가 않아용
2026-04-28 16:58:51,97,Y,네,Gemini,학습 & 연구|아이디어 & 기획,.
2026-04-28 16:58:59,98,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,거짓말을하거나 예전데이터를 가져와 지금인척한다.
2026-04-28 16:59:13,99,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,거짓된 정보를 사실처럼 말하는 경우가 있음
2026-04-28 16:59:39,100,Y,네,ChatGPT|Gemini|Claude|Gamma,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|자기관리|취미,환각 현상과 데이터 편향성 및 윤리적 문제
